bulk_id,car_reg_no,vehicle_speed,heading,distance,altitude,o_s1_b1_voltage,o_s2_b2_voltage,o_s1_current,calculated_engine_load,engine_rpm,spark_advance,absolute_load_value,throttle_position,relative_throttle_position,absolute_throttle_position,ap_pos_d,ap_pos_e,commanded_exhaust_gas_recirculation,commanded_evaporative_purge,commanded_throttle_actuator,fuel_rail_pressure,o_s1_b1_fuel_air_equivalence_ratio,fuel_tank_level_input,o_s1_b1_fuelair_equivalence_ratio,short_term_fuel_trim_b1,long_term_fuel_trim_b1,fuel_air_commanded_equivalence_ratio,hybrid_battery_pack_remaining,intake_manifold_absolute_pressure,mass_air_flow_rate,egr_error,absolute_barometric_pressure,engine_coolant_temperature,intake_air_temperature,catalyst_temperature_b1_s1,catalyst_temperature_b1_s2,ambient_air_temperature,time_stamp,latitude,longitude
37121076,113,0.0,0.000000,,0.0000,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,"2024-08-31 19:48:08",0.000000,0.000000
37121077,113,0.0,0.000000,,0.0000,,0.0150,0.0000,51.7647,849.0000,54.9020,30.0000,17.6471,0.0000,,,,,,,,,,,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,"2024-08-31 19:48:10",0.000000,0.000000
37121078,113,0.0,0.000000,,0.0000,,0.0150,0.0000,51.7647,849.0000,54.9020,30.0000,17.6471,0.0000,49.8000,20.3900,36.0800,,0.0000,,,14.9014,,0.0000,-6.2500,0.7813,,,,3.8100,,99.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"2024-08-31 19:48:12",0.000000,0.000000
37121079,113,7.0,0.000000,,-18.4000,,0.0150,0.0000,44.7059,960.0000,58.0392,27.0000,17.6471,0.0000,49.4100,17.6500,36.0800,,0.0000,,,14.9014,,0.0000,-6.2500,0.7813,,,,3.8100,,99.0000,38.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:14",24.910419,67.077042
37121080,113,7.0,0.000000,,-18.4000,,0.0150,0.0000,44.7059,960.0000,58.0392,27.0000,17.6471,0.0000,49.4100,17.6500,32.9400,,0.0000,,,14.9014,,0.0000,-12.5000,0.7813,,,,3.1700,,100.0000,38.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:16",24.910419,67.077042
37121081,113,7.0,0.000000,,-18.4000,,0.0150,0.0000,46.6667,921.0000,57.2549,28.0000,17.6471,0.0000,49.4100,17.6500,32.9400,,0.0000,,,14.9014,,0.0000,-12.5000,0.7813,,,,3.1700,,100.0000,38.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:18",24.910419,67.077042
37121082,113,7.0,0.000000,,-18.4000,,0.0150,0.0000,46.6667,921.0000,57.2549,28.0000,17.6471,0.0000,49.4100,16.0800,32.1600,,0.0000,,,14.9014,,0.0000,-7.0313,0.7813,,,,3.3200,,99.0000,39.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:20",24.910419,67.077042
37121083,113,7.0,282.671234,,-18.8000,,0.0150,0.0000,48.2353,904.0000,55.2941,28.0000,17.6471,0.0000,49.4100,17.6500,33.3300,,0.0000,,,14.9014,,0.0000,-7.0313,0.7813,,,,3.3200,,99.0000,39.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:22",24.910431,67.076981
37121084,113,6.0,282.671234,,-18.8000,,0.0150,0.0000,48.6275,823.0000,59.2157,30.0000,17.2549,0.0000,49.0200,17.6500,33.3300,,0.0000,,,14.9014,,0.0000,-5.4688,0.7813,,,,3.2100,,99.0000,40.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:24",24.910431,67.076981
37121085,113,6.0,282.671234,,-18.8000,,0.0150,0.0000,48.6275,823.0000,59.2157,30.0000,17.2549,0.0000,49.0200,19.6100,35.2900,,0.0000,,,14.9014,,0.0000,-6.2500,0.7813,,,,3.5000,,100.0000,40.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:26",24.910431,67.076981
37121086,113,5.0,282.671234,,-18.8000,,0.0150,0.0000,63.5294,1389.0000,69.4118,41.0000,20.7843,3.9200,54.5100,23.9200,39.6100,,0.0000,,,14.7283,,0.0000,-3.1250,-0.7813,,,,10.5000,,100.0000,40.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:28",24.910431,67.076981
37121087,113,11.0,218.627716,,-18.8000,,0.0150,0.0000,85.4902,1207.0000,62.3529,47.0000,20.7843,3.9200,54.5100,23.9200,39.6100,,0.0000,,,14.7283,,0.0000,-3.1250,-0.7813,,,,10.5000,,99.0000,40.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:30",24.910305,67.076866
37121088,113,15.0,218.627716,,-18.8000,,0.0150,0.0000,85.4902,1207.0000,62.3529,47.0000,20.3922,0.0000,48.6300,16.0800,32.1600,,0.0000,,,14.8776,,0.0000,-10.1563,0.7813,,,,3.5600,,100.0000,40.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:32",24.910305,67.076866
37121089,113,15.0,218.627716,,-18.8000,,0.0350,0.0000,69.4118,1241.0000,67.4510,28.0000,17.6471,0.0000,48.6300,18.0400,34.1200,,0.0000,,,14.8593,,0.0000,-19.5313,0.7813,,,,3.5600,,100.0000,40.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:34",24.910305,67.076866
37121090,113,12.0,218.627716,,-18.8000,,0.0150,0.0000,50.9804,922.0000,57.2549,30.0000,18.4314,1.9600,48.6300,18.0400,34.1200,,0.0000,,,14.8593,,0.0000,-19.5313,0.7813,,,,3.8100,,99.0000,41.0000,30.0000,0.0000,0.0000,28.0000,"2024-08-31 19:48:36",24.910305,67.076866
37121091,113,12.0,218.627716,,-18.8000,,0.0150,0.0000,50.9804,922.0000,57.2549,30.0000,18.4314,1.9600,52.1600,21.5700,37.2500,,0.0000,,,14.8422,,0.0000,-15.6250,-0.7813,,,,9.1000,,99.0000,41.0000,30.0000,0.0000,0.0000,27.0000,"2024-08-31 19:48:38",24.910305,67.076866
